longitude,latitude,lacounty:ain,streetnumber,streetname,addr:unit,postcode,city,source
-118.3310974,33.33952643,7480002029,6,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3318174,33.35437923,,7,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3278754,33.34646296,7480022053,7,Crescent Avenue,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3242669,33.34197159,7480010006,7,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3257384,33.34023986,7480008040,7,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3317428,33.33961129,7480002023,7,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3316487,33.3542386,,8,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3257384,33.34023986,7480008041,8,Canyon Terrace,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3312393,33.33949475,7480002030,8,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3318666,33.3543529,,9,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.327822,33.3463775,7480022054,9,Crescent Avenue,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3316893,33.33968903,7480002022,9,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3253291,33.34024328,,9,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3316787,33.35419035,,10,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313429,33.33944805,7480002031,10,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3253291,33.34024328,,10,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3318188,33.35423728,,11,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3248222,33.34163606,7480010039,11,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.33193,33.33982306,7480002021,11,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3253291,33.34024328,,11,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313017,33.35432996,,12,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3314193,33.33938693,7480002032,12,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3253291,33.34024328,,12,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.331122,33.35418767,,13,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3249786,33.34148265,7480010037,13,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3251547,33.34030238,7480008022,13,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3319879,33.33974377,7480002020,13,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313408,33.35428254,,14,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3251547,33.34030238,7480008023,14,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3314302,33.33926258,7480002033,14,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3311571,33.35415462,,15,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3280223,33.34662479,7480022059,15,Crescent Avenue,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3320417,33.33966958,7480002019,15,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3250784,33.34025774,,15,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313919,33.35422579,,16,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315539,33.33926054,7480002034,16,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3249979,33.3403028,,16,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3312304,33.35411386,,17,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3327613,33.33969026,7480002018,17,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3246926,33.34036997,,17,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315144,33.35412322,,18,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3248253,33.34029949,7480008035,18,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.331641,33.33916049,7480002035,18,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313296,33.35398263,,19,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3327194,33.33979152,7480002017,19,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3248184,33.34026158,,19,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315716,33.35409095,,20,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.331733,33.33918272,7480002036,20,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3247598,33.340329,,20,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313586,33.35393693,,21,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.332688,33.3398812,7480002016,21,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3249491,33.3400824,,21,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315188,33.35396352,,22,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3318233,33.33926425,7480002037,22,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3248914,33.3401627,,22,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.32507,33.34004344,7480008028,23,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3330651,33.33971276,7480002013,23,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3319247,33.33929177,7480002038,24,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3249084,33.34013832,,24,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3249001,33.3406672,7480050001,25,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3330292,33.33980483,7480002014,25,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310375,33.3539564,,26,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3249293,33.34062403,7480050002,26,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3320217,33.33933077,7480002039,26,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.331001,33.35388638,,27,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3249669,33.34058267,7480050003,27,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.332995,33.33989744,7480002015,27,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3309645,33.35382565,,28,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3247884,33.34058986,7480050004,28,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.332148,33.33937994,7480002040,28,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.330921,33.35376494,,29,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.324722,33.34058214,7480050005,29,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3332746,33.33981296,7480002012,29,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310898,33.35394528,,30,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3246636,33.34057564,7480050006,30,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3322524,33.33941656,7480002041,30,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310502,33.35386681,,31,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3246051,33.34056883,7480050007,31,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3333683,33.33985227,7480002011,31,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310077,33.35380187,,32,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3245379,33.34056867,7480050008,32,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3324109,33.33944909,7480002042,32,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3309682,33.35374537,,33,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3242805,33.34042748,7480050009,33,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3242805,33.34042748,7480050009,33,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3334666,33.33989777,7480002010,33,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.331136,33.35392403,,34,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3242332,33.34038741,7480050010,34,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3226754,33.34223471,7480010030,34,Middle Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3325139,33.33945602,7480002043,34,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310924,33.35384726,,35,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3241923,33.34034268,7480050011,35,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3241923,33.34034268,7480050011,35,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3234232,33.34172062,7480009015,35,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3335746,33.33995047,7480002009,35,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310499,33.35378317,,36,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3241286,33.34027814,7480050012,36,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3326249,33.3394583,7480002044,36,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3316217,33.35506328,,36,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310104,33.35372751,,37,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3240829,33.34023703,7480050013,37,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3240829,33.34023703,7480050013,37,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3336776,33.34005003,7480002008,37,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315041,33.35511008,,37,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3311853,33.35391122,,38,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3240425,33.34020087,7480050014,38,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3327537,33.3394611,7480002045,38,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313774,33.35515014,,38,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3311387,33.35383024,,39,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.324002,33.34016472,7480050015,39,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3235235,33.34172931,7480009016,39,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3316481,33.35510292,,39,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310941,33.35376023,,40,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3239618,33.34012874,7480050016,40,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3239618,33.34012874,7480050016,40,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3328631,33.33946576,7480002046,40,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315264,33.35514972,,40,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310577,33.35370542,,41,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.323916,33.34008755,7480050017,41,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3314038,33.35519231,,41,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3312032,33.35385709,,42,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.323768,33.34024329,7480050018,42,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.323768,33.34024329,7480050018,42,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3232108,33.34163749,7480009013,42,Upper Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3329686,33.33947403,7480002047,42,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3316675,33.35517299,,42,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3311617,33.35378117,,43,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.323716,33.34020756,7480050019,43,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315539,33.35521724,,43,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3311181,33.35372046,,44,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3236704,33.34017613,7480050020,44,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3236704,33.34017613,7480050020,44,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3331211,33.33949524,7480002048,44,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3314382,33.3552522,,44,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3312464,33.35382318,,45,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3236249,33.34014489,7480050021,45,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3239751,33.34168017,7480009035,45,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3309735,33.35535149,,45,Gaviota,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3317049,33.35522527,,45,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3312109,33.35375569,,46,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3235793,33.34011347,7480050022,46,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3235793,33.34011347,7480050022,46,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3229012,33.34161282,7480009010,46,Upper Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3332215,33.33951737,7480002049,46,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3308753,33.35521151,,46,Gaviota,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3315783,33.35526871,,46,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3311613,33.35368485,,47,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3235273,33.34007775,7480050023,47,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3309916,33.35533539,,47,Gaviota,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3314747,33.35530786,,47,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3312886,33.3538087,,48,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3233713,33.34021136,7480050024,48,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3233713,33.34021136,7480050024,48,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3333303,33.33954677,7480002050,48,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3307701,33.35507662,,48,Gaviota,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3312217,33.35369905,,49,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.323425,33.34024516,7480050025,49,Wrigley Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3241784,33.34155828,7480009032,49,Lower Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3308954,33.35520132,,49,Gaviota,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310921,33.35478593,,49,Playa Azul,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3313126,33.35376385,,50,Camino De Flores,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3234723,33.34027444,7480050026,50,Avalon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3234723,33.34027444,7480050026,50,Canyon Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3230496,33.3416154,7480009029,50,Upper Terrace Road,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3334464,33.3395824,7480002051,50,Cabrillo Drive,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
-118.3310107,33.35532435,,50,Gaviota,,90704,Avalon,http://egis3.lacounty.gov/dataportal/2012/06/19/la-county-address-points/
